,ID,N_VICTIMAS,FECHA,AAAA,MM,DD,HORA,HH,TIPO_DE_CALLE,COMUNA,pos x,pos y,PARTICIPANTES,VICTIMA,ACUSADO
120,2016-0153,1,2016-11-25,2016,11,25,15:42:00,15.0,avenida,15,-58.42917090,-34.59485488,peaton-moto,peaton,moto
121,2016-0154,1,2016-11-26,2016,11,26,14:14:00,14.0,gral paz,8,-58.49007772,-34.68251141,moto-moto,moto,moto
122,2016-0155,1,2016-11-26,2016,11,26,16:50:00,16.0,calle,10,-58.52756365,-34.62772274,peaton-auto,peaton,auto
123,2016-0156,1,2016-11-26,2016,11,26,19:40:00,19.0,avenida,3,-58.40638983,-34.61943202,moto-pasajeros,moto,pasajeros
124,2016-0157,1,2016-12-03,2016,12,3,06:40:00,6.0,avenida,11,-58.47576807,-34.61740997,moto-moto,moto,moto
125,2016-0159,1,2016-12-04,2016,12,4,07:21:00,7.0,avenida,8,-58.44451316,-34.68475866,auto-sd,auto,
126,2016-0160,1,2016-12-06,2016,12,6,05:30:00,5.0,autopista,9,-58.51927194,-34.63635787,cargas-objeto fijo,cargas,objeto fijo
127,2016-0161,1,2016-12-06,2016,12,6,07:22:00,7.0,avenida,14,-58.42525456,-34.57866344,peaton-pasajeros,peaton,pasajeros
128,2016-0162,1,2016-12-07,2016,12,7,05:00:00,5.0,avenida,15,-58.45396573,-34.58518167,peaton-auto,peaton,auto
129,2016-0163,1,2016-12-10,2016,12,10,07:30:00,7.0,gral paz,11,-58.52340614,-34.59798754,moto-auto,moto,auto
130,2016-0164,1,2016-12-11,2016,12,11,06:16:00,6.0,avenida,4,-58.42323628,-34.64119105,auto-auto,auto,auto
131,2016-0165,1,2016-12-12,2016,12,12,08:25:00,8.0,avenida,4,-58.36926144,-34.62841919,bicicleta-pasajeros,bicicleta,pasajeros
132,2016-0168,1,2016-12-13,2016,12,13,10:40:00,10.0,avenida,4,-58.42323628,-34.64119105,moto-auto,moto,auto
133,2016-0169,1,2016-12-15,2016,12,15,15:30:00,15.0,avenida,12,-58.47935434,-34.55676497,moto-pasajeros,moto,pasajeros
134,2016-0170,1,2016-12-19,2016,12,19,17:10:00,17.0,gral paz,12,-58.50598256,-34.56379980,moto-auto,moto,auto
135,2016-0171,1,2016-12-25,2016,12,25,19:00:00,19.0,autopista,1,-58.36607137,-34.62150748,moto-moto,moto,moto
136,2016-0172,1,2016-12-26,2016,12,26,08:00:00,8.0,avenida,5,-58.41918902,-34.63174259,moto-cargas,moto,cargas
137,2016-0173,1,2016-12-26,2016,12,26,19:52:00,19.0,avenida,7,-58.46749188,-34.63551751,moto-cargas,moto,cargas
138,2016-0174,1,2016-12-27,2016,12,27,00:00:00,0.0,autopista,3,-58.374269,-34.622955,,,
139,2016-0175,1,2016-12-27,2016,12,27,08:15:00,8.0,calle,7,-58.46064174,-34.62960517,peaton-bicicleta,peaton,bicicleta
140,2016-0176,1,2016-12-28,2016,12,28,01:41:00,1.0,avenida,1,-58.36956186,-34.61232875,moto-pasajeros,moto,pasajeros
141,2016-0177,1,2016-12-29,2016,12,29,04:00:00,4.0,calle,14,-58.40966671,-34.58788235,peaton-auto,peaton,auto
142,2016-0178,1,2016-12-30,2016,12,30,16:18:00,16.0,calle,3,-58.40288226,-34.61544091,multiple,peaton,multiple
143,2017-0001,1,2017-01-02,2017,1,2,01:00:00,1.0,avenida,11,-58.46594230,-34.61028571,moto-cargas,moto,cargas
144,2017-0003,1,2017-01-05,2017,1,5,03:10:00,3.0,avenida,4,-58.38957669,-34.64410277,cargas-cargas,cargas,cargas
145,2017-0007,1,2017-01-11,2017,1,11,17:00:00,17.0,calle,1,-58.38161660,-34.61529543,multiple,peaton,multiple
146,2017-0008,1,2017-01-16,2017,1,16,00:40:00,0.0,calle,14,-58.43917004,-34.58494351,moto-pasajeros,moto,pasajeros
147,2017-0009,1,2017-01-16,2017,1,16,13:56:00,13.0,autopista,5,-58.41595919,-34.62743346,moto-cargas,moto,cargas
148,2017-0010,1,2017-01-16,2017,1,16,16:30:00,16.0,avenida,6,-58.43564880,-34.62828656,moto-auto,moto,auto
149,2017-0011,1,2017-01-22,2017,1,22,02:30:00,2.0,gral paz,12,-58.50073810,-34.54979510,moto-objeto fijo,moto,objeto fijo
150,2017-0012,1,2017-01-24,2017,1,24,14:00:00,14.0,calle,4,-58.40969005,-34.65055290,moto-cargas,moto,cargas
151,2017-0013,1,2017-01-27,2017,1,27,07:00:00,7.0,avenida,4,-58.38972622,-34.65098981,peaton-cargas,peaton,cargas
152,2017-0014,1,2017-01-28,2017,1,28,08:27:34,8.0,avenida,12,-58.49185972,-34.55046754,multiple,moto,multiple
153,2017-0015,1,2017-02-02,2017,2,2,15:18:03,15.0,avenida,2,-58.39293417,-34.59963642,peaton-auto,peaton,auto
154,2017-0016,1,2017-02-03,2017,2,3,05:12:21,5.0,autopista,1,-58.38099494,-34.62288231,moto-cargas,moto,cargas
155,2017-0017,1,2017-02-06,2017,2,6,08:00:00,8.0,avenida,14,-58.42901200,-34.58095431,moto-auto,moto,auto
156,2017-0018,1,2017-02-09,2017,2,9,07:00:00,7.0,gral paz,9,-58.50877521,-34.66977709,moto-auto,moto,auto
157,2017-0021,1,2017-02-18,2017,2,18,05:30:00,5.0,calle,1,-58.38362373,-34.60509972,moto-pasajeros,moto,pasajeros
158,2017-0024,1,2017-02-23,2017,2,23,20:50:00,20.0,avenida,7,-58.46589308,-34.62955795,peaton-pasajeros,peaton,pasajeros
159,2017-0025,1,2017-02-24,2017,2,24,17:05:00,17.0,avenida,7,-58.43614426,-34.65424640,moto-sd,moto,
160,2017-0026,2,2017-02-26,2017,2,26,05:15:00,5.0,avenida,4,-58.41842777,-34.64979057,auto-objeto fijo,auto,objeto fijo
161,2017-0027,1,2017-02-26,2017,2,26,21:57:00,21.0,avenida,1,-58.38332245,-34.63193250,peaton-auto,peaton,auto
162,2017-0028,1,2017-02-28,2017,2,28,09:20:00,9.0,avenida,6,-58.45475488,-34.61196327,peaton-auto,peaton,auto
163,2017-0029,1,2017-03-07,2017,3,7,02:15:00,2.0,calle,9,-58.48501341,-34.64742455,sd-auto,,auto
164,2017-0030,1,2017-03-07,2017,3,7,08:00:00,8.0,avenida,9,-58.47010988,-34.65872088,auto-pasajeros,auto,pasajeros
165,2017-0031,1,2017-03-11,2017,3,11,01:30:00,1.0,calle,3,-58.40997560,-34.62873635,auto-objeto fijo,auto,objeto fijo
166,2017-0032,1,2017-03-12,2017,3,12,05:00:00,5.0,gral paz,8,-58.48892175,-34.68359163,auto-auto,auto,auto
167,2017-0033,1,2017-03-12,2017,3,12,07:30:00,7.0,gral paz,11,-58.52466448,-34.60325478,auto-auto,auto,auto
168,2017-0034,1,2017-03-13,2017,3,13,07:50:00,7.0,calle,14,-58.42554218,-34.57929036,peaton-auto,peaton,auto
169,2017-0035,3,2017-03-23,2017,3,23,05:00:00,5.0,avenida,1,-58.35881506,-34.61113641,auto-objeto fijo,auto,objeto fijo
170,2017-0036,2,2017-03-29,2017,3,29,18:00:00,18.0,gral paz,12,-58.51452347,-34.58159762,moto-pasajeros,moto,pasajeros
171,2017-0037,1,2017-03-31,2017,3,31,03:00:00,3.0,avenida,1,-58.38896772,-34.61799615,moto-cargas,moto,cargas
172,2017-0038,1,2017-04-01,2017,4,1,19:00:00,19.0,avenida,7,-58.44516857,-34.64363363,moto-auto,moto,auto
173,2017-0040,1,2017-04-03,2017,4,3,09:40:00,9.0,avenida,13,-58.43834197,-34.54560369,multiple,auto,multiple
174,2017-0041,1,2017-04-03,2017,4,3,23:15:00,23.0,calle,7,-58.45485084,-34.63531854,moto-auto,moto,auto
175,2017-0042,1,2017-04-10,2017,4,10,09:00:00,9.0,gral paz,14,-58.42098,-34.558958,moto-cargas,moto,cargas
176,2017-0045,1,2017-04-14,2017,4,14,06:15:00,6.0,calle,10,-58.52449285,-34.62454175,moto-objeto fijo,moto,objeto fijo
177,2017-0047,1,2017-04-23,2017,4,23,06:30:00,6.0,avenida,8,-58.46713742,-34.67198790,moto-auto,moto,auto
178,2017-0049,1,2017-04-27,2017,4,27,18:16:00,18.0,avenida,8,-58.43850413,-34.65554754,peaton-pasajeros,peaton,pasajeros
179,2017-0050,2,2017-04-28,2017,4,28,11:08:08,11.0,autopista,9,-58.481927,-34.647139,moto-cargas,moto,cargas
180,2017-0051,1,2017-05-01,2017,5,1,03:47:47,3.0,autopista,7,-58.475612,-34.66794,auto-auto,auto,auto
181,2017-0052,1,2017-05-05,2017,5,5,03:40:00,3.0,gral paz,8,-58.49413799,-34.68095739,peaton-cargas,peaton,cargas
182,2017-0053,1,2017-05-05,2017,5,5,20:16:22,20.0,calle,4,-58.37547846,-34.65326075,moto-cargas,moto,cargas
183,2017-0054,1,2017-05-07,2017,5,7,21:00:00,21.0,avenida,15,-58.48680218,-34.58689719,moto-auto,moto,auto
184,2017-0055,1,2017-05-09,2017,5,9,08:30:00,8.0,avenida,12,-58.49563989,-34.57962262,auto-auto,auto,auto
185,2017-0058,1,2017-05-09,2017,5,9,23:10:00,23.0,avenida,1,-58.38403232,-34.59915940,peaton-moto,peaton,moto
186,2017-0059,1,2017-05-11,2017,5,11,09:24:00,9.0,calle,1,-58.38223382,-34.62693865,peaton-pasajeros,peaton,pasajeros
187,2017-0060,1,2017-05-13,2017,5,13,07:20:00,7.0,avenida,8,-58.45966521,-34.67323292,moto-objeto fijo,moto,objeto fijo
188,2017-0061,1,2017-05-15,2017,5,15,13:29:30,13.0,avenida,2,-58.39303911,-34.59871111,peaton-moto,peaton,moto
189,2017-0062,1,2017-05-15,2017,5,15,16:00:00,16.0,avenida,10,-58.51262106,-34.63395999,moto-cargas,moto,cargas
190,2017-0063,1,2017-05-17,2017,5,17,10:13:00,10.0,avenida,1,-58.38118367,-34.61646839,peaton-pasajeros,peaton,pasajeros
191,2017-0064,1,2017-05-20,2017,5,20,05:00:00,5.0,calle,1,-58.37653284,-34.60582475,cargas-auto,cargas,auto
192,2017-0065,1,2017-05-22,2017,5,22,16:00:00,16.0,avenida,4,-58.37709334,-34.64035082,bicicleta-cargas,bicicleta,cargas
193,2017-0066,1,2017-05-22,2017,5,22,18:10:00,18.0,avenida,15,-58.46002142,-34.60409469,peaton-pasajeros,peaton,pasajeros
194,2017-0067,1,2017-05-23,2017,5,23,02:45:00,2.0,avenida,6,-58.43381970,-34.62801894,moto-cargas,moto,cargas
